region_id,region_name,province_bps,country,year,yield_ku_ha,yield_ton_ha,harvested_ha,production_ton,data_source,method_note
IDN-72,Central Sulawesi,SULAWESI TENGAH,IDN,2022,43.04,4.304,22349.74,96199.79,BPS,KSA
IDN-72,Central Sulawesi,SULAWESI TENGAH,IDN,2023,40.54,4.054,18002.68,72981.58,BPS,KSA
IDN-72,Central Sulawesi,SULAWESI TENGAH,IDN,2024,44.49,4.449,19061.15,84798.45,BPS,KSA
IDN-73,South Sulawesi,SULAWESI SELATAN,IDN,2020,50.84,5.084,213791.89,1086933.12,BPS,KSA
IDN-73,South Sulawesi,SULAWESI SELATAN,IDN,2021,55.64,5.564,185724.95,1033341.18,BPS,KSA
IDN-73,South Sulawesi,SULAWESI SELATAN,IDN,2022,58.71,5.871,196218.71,1152062.7,BPS,KSA
IDN-73,South Sulawesi,SULAWESI SELATAN,IDN,2023,56.41,5.641,181800.85,1025516.26,BPS,KSA
IDN-73,South Sulawesi,SULAWESI SELATAN,IDN,2024,59.24,5.924,191012.1,1131504.0,BPS,KSA
IDN-74,Southeast Sulawesi,SULAWESI TENGGARA,IDN,2020,39.39,3.939,25124.41,98972.12,BPS,KSA
IDN-74,Southeast Sulawesi,SULAWESI TENGGARA,IDN,2021,39.59,3.959,19792.32,78350.27,BPS,KSA
IDN-74,Southeast Sulawesi,SULAWESI TENGGARA,IDN,2022,39.73,3.973,19674.51,78163.06,BPS,KSA
IDN-74,Southeast Sulawesi,SULAWESI TENGGARA,IDN,2023,36.61,3.661,18987.59,69512.45,BPS,KSA
IDN-74,Southeast Sulawesi,SULAWESI TENGGARA,IDN,2024,39.46,3.946,20135.0,79444.29,BPS,KSA
IDN-75,Gorontalo,GORONTALO,IDN,2020,46.28,4.628,125415.3,580370.29,BPS,KSA
IDN-75,Gorontalo,GORONTALO,IDN,2021,48.21,4.821,138958.14,669890.37,BPS,KSA
IDN-75,Gorontalo,GORONTALO,IDN,2022,49.27,4.927,140548.34,692439.15,BPS,KSA
IDN-75,Gorontalo,GORONTALO,IDN,2023,46.16,4.616,114355.96,527923.15,BPS,KSA
IDN-75,Gorontalo,GORONTALO,IDN,2024,48.82,4.882,128230.6,625972.1,BPS,KSA
IDN-76,West Sulawesi,SULAWESI BARAT,IDN,2020,48.93,4.893,2297.16,11239.6,BPS,KSA
IDN-76,West Sulawesi,SULAWESI BARAT,IDN,2021,50.58,5.058,1575.16,7966.76,BPS,KSA
IDN-76,West Sulawesi,SULAWESI BARAT,IDN,2022,53.23,5.323,5670.96,30186.61,BPS,KSA
IDN-76,West Sulawesi,SULAWESI BARAT,IDN,2023,51.8,5.18,5617.09,29097.91,BPS,KSA
IDN-76,West Sulawesi,SULAWESI BARAT,IDN,2024,50.33,5.033,6019.31,30295.93,BPS,KSA
IDN-81,Maluku,MALUKU,IDN,2020,34.53,3.453,4324.52,14934.68,BPS,KSA
IDN-81,Maluku,MALUKU,IDN,2021,38.53,3.853,3813.08,14691.93,BPS,KSA
IDN-81,Maluku,MALUKU,IDN,2022,58.14,5.814,2698.04,15687.0,BPS,KSA
IDN-81,Maluku,MALUKU,IDN,2023,32.51,3.251,2357.12,7663.29,BPS,KSA
IDN-81,Maluku,MALUKU,IDN,2024,33.86,3.386,2239.28,7582.6,BPS,KSA
IDN-82,North Maluku,MALUKU UTARA,IDN,2020,41.12,4.112,928.0,3816.09,BPS,KSA
IDN-82,North Maluku,MALUKU UTARA,IDN,2021,50.57,5.057,2042.47,10328.93,BPS,KSA
IDN-82,North Maluku,MALUKU UTARA,IDN,2022,45.51,4.551,1694.49,7712.31,BPS,KSA
IDN-82,North Maluku,MALUKU UTARA,IDN,2023,42.61,4.261,1612.53,6870.64,BPS,KSA
IDN-82,North Maluku,MALUKU UTARA,IDN,2024,34.41,3.441,1316.6,4530.02,BPS,KSA
IDN-91,West Papua,PAPUA BARAT,IDN,2020,38.03,3.803,1340.64,5098.77,BPS,KSA
IDN-91,West Papua,PAPUA BARAT,IDN,2021,43.21,4.321,1099.9,4753.17,BPS,KSA
